Date,Username,Search,Tweet,language
2021-08-24 13:46:11,kidd_wash,musica OR baile OR colegio,creo que si sigo haciendo música no te voy a olvidar nunca podría hacer tres discos con tu nombre,es
2021-08-24 13:46:07,nemalacatombe,musica OR baile OR colegio,"@fantomastxiki @nabarra1512 Vamos a ponerle una poca de música a este mediodia de martes. El 'ni te cases ni te embarques' ya lo tenemos, asin que    https://t.co/LOLPRmgoYl",es
2021-08-24 13:46:01,lanoviaadebella,musica OR baile OR colegio,adivinen quién faltó al colegio si yo,es
2021-08-24 13:45:56,Lilo_xddd,musica OR baile OR colegio,tas tremenda y me encantan tus fotos y tu música — Ay pues gracias chiqui &lt;3 🥰🥰  https://t.co/N67KZHHUdu,es
2021-08-24 13:45:52,florenciaeeberl,musica OR baile OR colegio,"Quiero quemar el colegio, quién se prende?",es
2021-08-24 13:45:52,hoseokilI,musica OR baile OR colegio,"la puta madre weonnnn me mandaron al colegio igual y estoy asquerosa mentalmente, si veo a alguien lo golpeo weon",es
2021-08-24 13:45:46,ValladolidSER,musica OR baile OR colegio,El colegio María de Molina se convertirá en sede de la Escuela Municipal de Música   https://t.co/rIuxnkQg7X,es
2021-08-24 13:45:42,sebastian2050,musica OR baile OR colegio,@AndresNizzo Comisión de ética del colegio profesional?,es
2021-08-24 13:45:40,vanteflaite,musica OR baile OR colegio,una amiga siempre me pasa a buscar para ir juntas al colegio y hoy se le olvidó avisarme que no va a ir… YA ESTABA LISTA PARA SALIR CTM ME COSTÓ MICHO PONERME LA ROPA😭 hace frío :(,es
2021-08-24 13:45:33,DlfiLvsToge,musica OR baile OR colegio,Ando en el colegio y me dieron una clase de sexo,es
2021-08-24 13:45:29,CNPLDLDDLJ,musica OR baile OR colegio,"1.- La ciencia no  tiene nombre ni apellido, no es persona física ni jurídica. Nohabla, no dice nada, ni decide.  Ningún medicamento sin receta médica con la firma y el número de colegiado puede ser aplicado legalmente sin consentimiento informado del paciente. 2.- Léase Anexo 1",es
2021-08-24 13:45:27,AngelesRmrezG,musica OR baile OR colegio,"Dice Oskibiri q este verano se le ha hecho demasiado corto y Jolín yo pensándolo, es que se me ha pasado volando. En nada estamos de nuevo con el lío del colegio y el agobio de la plataforma.",es
2021-08-24 13:45:25,FloPereira,musica OR baile OR colegio,"¡STREAM SORPRESA! Veni a estudiar o trabajar conmigo, con música tranqui y contadores Pomodoros 🥰 Es gratis y entras directo desde la web  https://t.co/uUX2j0bdBi",es
2021-08-24 13:45:23,CulturaXunta,musica OR baile OR colegio,"O programa #CulturaNoCamiño leva 4⃣3⃣ espectáculos escénicos ás comarcas da #Limia, #BaixaLimia e #VerinMonterrei este verán☀️  Ata mediados de setembro haberá sesións de maxia, teatro, música e novo circo en 10 concellos  ℹ️ Programación dispoñible en  https://t.co/1i1UowRJFh  https://t.co/L0CpM2GdZB",es
2021-08-24 13:45:18,marioacotto,musica OR baile OR colegio,"Anyways ya es escogi el plato, el amplificador y las bocinas para mi sistema de música y el resto de mis discos vienen por ahí",es
2021-08-24 13:45:17,iLIXCATS,musica OR baile OR colegio,tengo q ir al colegio 😑,es
2021-08-24 13:45:11,caughtinlwt,musica OR baile OR colegio,“quiero prepararlas para cuando sean directoras o inspectoras” ni loca mujer apenas puedo con mi vida y queres que me encargue de un colegio completo ??,es
